Number,Team,Transaction
7114,20,[2022-07-23 2:40:57 PM] - Gunnar Blomquist was released.
7115,8,[2022-07-23 2:40:57 PM] - Hemmo Kovanen was released.
7116,18,[2022-07-23 2:40:57 PM] - Sebastien Simpson was released.
7117,17,[2022-07-23 2:40:57 PM] - Santeri Holmberg was released.
7118,2,[2022-07-23 2:40:57 PM] - Marco Lawson was released.
7119,19,[2022-07-23 2:40:57 PM] - Brandon Gibson was released.
7120,22,[2022-07-23 2:40:57 PM] - Jerry Seguin was released.
7121,14,[2022-07-23 2:40:57 PM] - Maciej Solstad was released.
7122,2,[2022-07-23 2:40:57 PM] - Matt Nguyen was released.
7123,3,[2022-07-23 2:40:57 PM] - Reg O'Brien was released.
7124,22,[2022-07-23 2:40:57 PM] - Stefan Majerova was released.
7125,1,[2022-07-23 2:40:57 PM] - Blake Small was released.
7126,16,[2022-07-23 2:40:57 PM] - Sven-Olof Oscarsson was released.
7127,3,[2022-07-23 2:40:57 PM] - Yanis Klimova was released.
7128,23,[2022-07-23 2:40:57 PM] - Omar Black was released.
7129,8,[2022-07-23 2:40:57 PM] - Andrej Horakova was released.
7130,5,[2022-07-23 2:40:57 PM] - Doug Fortin was released.
7131,10,[2022-07-23 2:40:57 PM] - Ricky Kaplan was released.
7132,9,[2022-07-23 2:40:57 PM] - Leopold Michal was released.
7133,4,[2022-07-23 2:40:57 PM] - Rex Mcdonald was released.
7134,18,[2022-07-23 2:40:57 PM] - Miika Holm was released.
7135,7,[2022-07-23 2:40:57 PM] - Matthew Savard was released.
7136,16,[2022-07-23 2:40:57 PM] - Ryan Bell was released.
7137,3,[2022-07-23 2:40:57 PM] - Anssi Saarikoski was released.
7138,9,[2022-07-23 2:40:57 PM] - Osman Horn was released.
7139,22,[2022-07-23 2:40:57 PM] - Wayne Boudreault was released.
7140,15,[2022-07-23 2:40:57 PM] - Troy Gordon was released.
7141,20,[2022-07-23 2:40:57 PM] - Vano Sabirova was released.
7142,1,[2022-07-23 2:40:57 PM] - Levon Ovsyannikova was released.
7143,5,[2022-07-23 2:40:57 PM] - Bereke Tomin was released.
7144,8,[2022-07-23 2:40:57 PM] - Joel Hood was released.
7145,16,[2022-07-23 2:40:57 PM] - Edwin Maxwell was released.
7146,18,[2022-07-23 2:40:57 PM] - Karl Karvinen was released.
7147,15,[2022-07-23 2:40:57 PM] - Mohammad Clement was released.
7148,15,[2022-07-23 2:40:57 PM] - Niyaz Lobanova was released.
7149,10,[2022-07-23 2:40:57 PM] - Alibek Kotov was released.
7150,17,[2022-07-23 2:40:57 PM] - Alibek Terenteva was released.
7151,18,[2022-07-23 2:40:57 PM] - Roberto Conley was released.
7152,15,[2022-07-23 2:40:57 PM] - Remi Marshall was released.
7153,23,[2022-07-23 2:40:57 PM] - Holger Mansson was released.
7154,19,[2022-07-23 2:40:57 PM] - Rick Thomson was released.
7155,19,[2022-07-23 2:40:57 PM] - Merle Green was released.
7156,18,[2022-07-23 2:40:57 PM] - Harvey Mann was released.
7157,22,[2022-07-23 2:40:57 PM] - Devin Gagnon was released.
7158,17,[2022-07-23 2:40:57 PM] - Stephan Heinemann was released.
7159,2,[2022-07-23 2:40:57 PM] - Rene Michalko was released.
7160,14,[2022-07-23 2:40:57 PM] - Timofey Ermolenko was released.
7161,5,[2022-07-23 2:40:57 PM] - Curt Ochoa was released.
7162,19,[2022-07-23 2:40:57 PM] - Jeremiah Owens was released.
7163,15,[2022-07-23 2:40:57 PM] - Allen Gilbert was released.
7164,1,[2022-07-23 2:40:57 PM] - Calvin Matte was released.
7165,6,[2022-07-23 2:40:57 PM] - Jose Hodges was released.
7166,8,[2022-07-23 2:40:57 PM] - Asker Mikhaylov was released.
7167,7,[2022-07-23 2:40:57 PM] - Sergej Kravtsov was released.
7168,6,[2022-07-23 2:40:57 PM] - Jean Walton was released.
7169,19,[2022-07-23 2:40:57 PM] - Blaine Cadieux was released.
7170,18,[2022-07-23 2:40:57 PM] - Roman Makhambetov was released.
7171,13,[2022-07-23 2:40:57 PM] - Falko Benz was released.
7172,10,[2022-07-23 2:40:57 PM] - Guy Cameron was released.
7173,6,[2022-07-23 2:40:57 PM] - Andy Mohamed was released.
7174,12,[2022-07-23 2:40:57 PM] - Ahmad Damkjaer was released.
7175,18,[2022-07-23 2:40:57 PM] - Aleksejs Dzenis was released.
7176,14,[2022-07-23 2:40:57 PM] - Frank Lloyd was released.
7177,18,[2022-07-23 2:40:57 PM] - Ted Rioux was released.
7178,24,[2022-07-23 2:40:57 PM] - Miguel Chang was released.
7179,14,[2022-07-23 2:40:57 PM] - Fredrik Koskelainen was released.
7180,16,[2022-07-23 2:40:57 PM] - Rob Golden was released.
7181,16,[2022-07-23 2:40:57 PM] - Kimmo Markkanen was released.
7182,12,[2022-07-23 2:40:57 PM] - Yunus Vladimirova was released.
7183,20,[2022-07-23 2:40:57 PM] - Domenico Felder was released.
7184,11,[2022-07-23 2:40:57 PM] - Len Poulin was released.
7185,8,[2022-07-23 2:40:57 PM] - Jan-Olov Emanuelsson was released.
7186,14,[2022-07-23 2:40:57 PM] - Russ Yoder was released.
7187,6,[2022-07-23 2:40:57 PM] - Stefan Brada was released.
7188,1,[2022-07-23 2:40:57 PM] - Sigvard Hallberg was released.
7189,20,[2022-07-23 2:40:57 PM] - Julian Richard was released.
7190,23,[2022-07-23 2:40:57 PM] - Kelvin Banks was released.
7191,16,[2022-07-23 2:40:57 PM] - Illya Fedorovich was released.
7192,1,[2022-07-23 2:40:57 PM] - Khazan Eryomenko was released.
7193,9,[2022-07-23 2:40:57 PM] - Jack Hicks was released.
7194,19,[2022-07-23 2:40:57 PM] - Jesper Hyvonen was released.
7195,19,[2022-07-23 2:40:57 PM] - Stanley Gardiner was released.
7196,18,[2022-07-23 2:40:57 PM] - Ian Jordan was released.
7197,2,[2022-07-23 2:40:57 PM] - Jessy Gaillard was released.
7198,12,[2022-07-23 2:40:57 PM] - Murray Laplante was released.
7199,12,[2022-07-23 2:40:57 PM] - Nigel Howe was released.
7200,7,[2022-07-23 2:40:57 PM] - Raj Mills was released.
7201,12,[2022-07-23 2:40:57 PM] - Maxon Sobolev was released.
7202,7,[2022-07-23 2:40:57 PM] - Gino Andrews was released.
7203,2,[2022-07-23 2:40:57 PM] - Ilnar Vakhrusheva was released.
7204,14,[2022-07-23 2:40:57 PM] - Casey Mayer was released.
7205,21,[2022-07-23 2:40:57 PM] - Brendan Chung was released.
7206,18,[2022-07-23 2:40:57 PM] - Marty Blair was released.
7207,20,[2022-07-23 2:40:57 PM] - Nicholas Brassard was released.
7208,19,[2022-07-23 2:40:57 PM] - Emmanuel Salas was released.
7209,11,[2022-07-23 2:40:57 PM] - Morgan Brunet was released.
7210,14,[2022-07-23 2:40:57 PM] - Lionel Bissonnette was released.
7211,5,[2022-07-23 2:40:57 PM] - Rodion Belova was released.
7212,15,[2022-07-23 2:40:57 PM] - Johannes Utriainen was released.
7213,22,[2022-07-23 2:40:57 PM] - Minh Scott was released.
7214,7,[2022-07-23 2:40:57 PM] - Wayne Chartrand was released.
7215,1,[2022-07-23 2:40:57 PM] - Harry Giroux was released.
7216,5,[2022-07-23 2:40:57 PM] - Erich Polasek was released.
7217,7,[2022-07-23 2:40:57 PM] - Ilnar Cherkasov was released.
7218,18,[2022-07-23 2:40:57 PM] - Ragnar Nordgren was released.
7219,14,[2022-07-23 2:40:57 PM] - Arman Alexeeva was released.
7220,17,[2022-07-23 2:40:57 PM] - Gotz Keil was released.
7221,10,[2022-07-23 2:40:57 PM] - Chingiz Bogdanov was released.
7222,12,[2022-07-23 2:40:57 PM] - Kiril Chirkov was released.
7223,1,[2022-07-23 2:40:57 PM] - Freddie Greer was released.
7224,8,[2022-07-23 2:40:57 PM] - Micheal Asselin was released.
7225,17,[2022-07-23 2:40:57 PM] - Bedrich Michalova was released.
7226,13,[2022-07-23 2:40:57 PM] - Brandon Moore was released.
7227,14,[2022-07-23 2:40:57 PM] - Perry Rose was released.
7228,1,[2022-07-23 2:40:57 PM] - Marshall Giles was released.
7229,1,[2022-07-23 2:40:57 PM] - Aki Haapamaki was released.
7230,9,[2022-07-23 2:40:57 PM] - Jamal Lindman was released.
7231,20,[2022-07-23 2:40:57 PM] - Hans-Dieter Huber was released.
7232,19,[2022-07-23 2:40:57 PM] - Devin Vazquez was released.
7233,15,[2022-07-23 2:40:57 PM] - Felipe Costello was released.
7234,7,[2022-07-23 2:40:57 PM] - Kurt Kure was released.
7235,21,[2022-07-23 2:40:57 PM] - Jerry Ludvigsson was released.
7236,6,[2022-07-23 2:40:57 PM] - Johnny Fritz was released.
7237,9,[2022-07-23 2:40:57 PM] - Hubert Aubin was released.
7238,21,[2022-07-23 2:40:57 PM] - Jean-Marc Lacasse was released.
7239,16,[2022-07-23 2:40:57 PM] - Johannes Johannessen was released.
7240,23,[2022-07-23 2:40:57 PM] - Greg Fitzpatrick was released.
7241,2,[2022-07-23 2:40:57 PM] - Dale Robichaud was released.
7242,14,[2022-07-23 2:40:57 PM] - Lon Dixon was released.
7243,11,[2022-07-23 2:40:57 PM] - Kelvin Lussier was released.
7244,19,[2022-07-23 2:40:57 PM] - Jaime Snow was released.
7245,11,[2022-07-23 2:40:57 PM] - Bruno Major was released.
7246,18,[2022-07-23 2:40:57 PM] - Marc-Andre Manning was released.
7247,11,[2022-07-23 2:40:57 PM] - Bror Ohlsson was released.
7248,21,[2022-07-23 2:40:57 PM] - Vaclav Mrazik was released.
7249,1,[2022-07-23 2:40:57 PM] - Julio Ray was released.
7250,8,[2022-07-23 2:40:57 PM] - Hans Sundvall was released.
7251,3,[2022-07-23 2:40:57 PM] - Nicholas Peck was released.
7252,4,[2022-07-23 2:40:57 PM] - Zoltan Sotakova was released.
7253,8,[2022-07-23 2:40:57 PM] - Bob Holmes was released.
7254,14,[2022-07-23 2:40:57 PM] - Jean-Guy Girard was released.
7255,2,[2022-07-23 2:40:57 PM] - Corey Doyle was released.
7256,20,[2022-07-23 2:40:57 PM] - Igor Lundberg was released.
7257,9,[2022-07-23 2:40:57 PM] - Alexander Healey was released.
7258,5,[2022-07-23 2:40:57 PM] - Aydyn Fomina was released.
7259,8,[2022-07-23 2:40:57 PM] - Henri Vallieres was released.
7260,20,[2022-07-23 2:40:57 PM] - Thomas Hyyrylainen was released.
7261,7,[2022-07-23 2:40:57 PM] - Teodor Michalec was released.
7262,3,[2022-07-23 2:40:57 PM] - Jaroslav Kollar was released.
7263,5,[2022-07-23 2:40:57 PM] - Daniel Hewitt was released.
7264,12,[2022-07-23 2:40:57 PM] - Duane Bond was released.
7265,23,[2022-07-23 2:40:57 PM] - Norbert Seeger was released.
7266,23,[2022-07-23 2:40:57 PM] - Leon Pare was released.
7267,6,[2022-07-23 2:40:57 PM] - Teemu Kannisto was released.
7268,19,[2022-07-23 2:40:57 PM] - Terrence Barnes was released.
7269,16,[2022-07-23 2:40:57 PM] - Matt Conner was released.
7270,7,[2022-07-23 2:40:57 PM] - Gino Todd was released.
7271,9,[2022-07-23 2:40:57 PM] - Luc Drouin was released.
7272,17,[2022-07-23 2:40:57 PM] - Kevin Leijon was released.
7273,10,[2022-07-23 2:40:57 PM] - James Auger was released.
7274,8,[2022-07-23 2:40:57 PM] - Jorge Patrick was released.
7275,23,[2022-07-23 2:40:57 PM] - Maxim Bizhanov was released.
7276,6,[2022-07-23 2:40:57 PM] - Rusik Nikolaeva was released.
7277,1,[2022-07-23 2:40:57 PM] - Shane Jacob was released.
7278,6,[2022-07-23 2:40:57 PM] - James Maxwell was released.
7279,5,[2022-07-23 2:40:57 PM] - Senya Kozhevnikov was released.
7280,3,[2022-07-23 2:40:57 PM] - Savely Fedorova was released.
7281,7,[2022-07-23 2:40:57 PM] - Francisco Mack was released.
7282,11,[2022-07-23 2:40:57 PM] - Jean-Luc Auger was released.
7283,17,[2022-07-23 2:40:57 PM] - Garrett Burns was released.
7284,13,[2022-07-23 2:40:57 PM] - Marc Laurin was released.
7285,20,[2022-07-23 2:40:57 PM] - Kaarlo Peltoniemi was released.
7286,10,[2022-07-23 2:40:57 PM] - Leonhard Kruger was released.
7287,15,[2022-07-23 2:40:57 PM] - Carl Blake was released.
7288,14,[2022-07-23 2:40:57 PM] - Randy Montgomery was released.
7289,12,[2022-07-23 2:40:57 PM] - Vern White was released.
7290,8,[2022-07-23 2:40:57 PM] - Mans Wass was released.
7291,14,[2022-07-23 2:40:57 PM] - Jouni Henriksson was released.
7292,21,[2022-07-23 2:40:57 PM] - Bruno Peterson was released.
7293,15,[2022-07-23 2:40:57 PM] - Raymond Lemire was released.
7294,11,[2022-07-23 2:40:57 PM] - Christopher Maier was released.
7295,15,[2022-07-23 2:40:57 PM] - Rene Lundqvist was released.
7296,24,[2022-07-23 2:40:57 PM] - Gerald Goulet was released.
7297,19,[2022-07-23 2:40:57 PM] - Oleg Maslov was released.
7298,12,[2022-07-23 2:40:57 PM] - Bruno Macmillan was released.
7299,13,[2022-07-23 2:40:57 PM] - Clarence Turcotte was released.
7300,20,[2022-07-23 2:40:57 PM] - Ali Thoren was released.
7301,23,[2022-07-23 2:40:57 PM] - Wm Larsen was released.
7302,10,[2022-07-23 2:40:57 PM] - Hugo Muller was released.
7303,6,[2022-07-23 2:40:57 PM] - Raj Denis was released.
7304,4,[2022-07-23 2:40:57 PM] - David Perreault was released.
7305,17,[2022-07-23 2:40:57 PM] - Aleksej Vladimirovna was released.
7306,21,[2022-07-23 2:40:57 PM] - Mihail Alexandrov was released.
7307,10,[2022-07-23 2:40:57 PM] - Yakov Nazarov was released.
7308,6,[2022-07-23 2:40:57 PM] - Luis Macdonald was released.
7309,21,[2022-07-23 2:40:57 PM] - Ayur Guseynov was released.
7310,5,[2022-07-23 2:40:57 PM] - Leo Sidhu was released.
7311,23,[2022-07-23 2:40:57 PM] - Gino Schmidt was released.
7312,24,[2022-07-23 2:40:57 PM] - Vincenc Sabova was released.
7313,4,[2022-07-23 2:40:57 PM] - Andre Algotsson was released.
7314,12,[2022-07-23 2:40:57 PM] - Wilfred Leclerc was released.
7315,5,[2022-07-23 2:40:57 PM] - Dinis Malkova was released.
7316,19,[2022-07-23 2:40:57 PM] - Len Leger was released.
7317,4,[2022-07-23 2:40:57 PM] - Julian Powell was released.
7318,14,[2022-07-23 2:40:57 PM] - Neil Preston was released.
7319,3,[2022-07-23 2:40:57 PM] - Thanh Fleury was released.
7320,20,[2022-07-23 2:40:57 PM] - Germain Cooper was released.
7321,7,[2022-07-23 2:40:57 PM] - Gregg Bradshaw was released.
7322,18,[2022-07-23 2:40:57 PM] - Roberto Beauchamp was released.
7323,3,[2022-07-23 2:40:57 PM] - Mathew Vallee was released.
7324,3,[2022-07-23 2:40:57 PM] - Claude Mercer was released.
7325,3,[2022-07-23 2:40:57 PM] - Samuli Knuuttila was released.
7326,18,[2022-07-23 2:40:57 PM] - Zoran Eberhard was released.
7327,5,[2022-07-23 2:40:57 PM] - Daniel Tran was released.
7328,12,[2022-07-23 2:40:57 PM] - Amir Wagner was released.
7329,6,[2022-07-23 2:40:57 PM] - Angel Hunt was released.
7330,18,[2022-07-23 2:40:57 PM] - Gyorgy Juskova was released.
7331,21,[2022-07-23 2:40:57 PM] - Rudy Frederick was released.
7332,21,[2022-07-23 2:40:57 PM] - Rene Desroches was released.
7333,6,[2022-07-23 2:40:57 PM] - Colin Power was released.
7334,3,[2022-07-23 2:40:57 PM] - Harvey Pollock was released.
7335,24,[2022-07-23 2:40:57 PM] - Pat Duquette was released.
7336,23,[2022-07-23 2:40:57 PM] - Luke Mcmahon was released.
7337,21,[2022-07-23 2:40:57 PM] - Herman Martinez was released.
7338,9,[2022-07-23 2:40:57 PM] - Terry Pratt was released.
7339,5,[2022-07-23 2:40:57 PM] - Aidyn Isabekov was released.
7340,3,[2022-07-23 2:40:57 PM] - Ayur Trifonov was released.
7341,16,[2022-07-23 2:40:57 PM] - Joakim Tahvanainen was released.
7342,18,[2022-07-23 2:40:57 PM] - Nicholas Lacasse was released.
7343,12,[2022-07-23 2:40:57 PM] - Oiva Kurvinen was released.
7344,11,[2022-07-23 2:40:57 PM] - Jimmy Gordon was released.
7345,19,[2022-07-23 2:40:57 PM] - Larry Poole was released.
7346,16,[2022-07-23 2:40:57 PM] - Sam Nadeau was released.
7347,2,[2022-07-23 2:40:57 PM] - Victor Burnett was released.
7348,23,[2022-07-23 2:40:57 PM] - Marcus Sandhu was released.
7349,17,[2022-07-23 2:40:57 PM] - Thomas Bowman was released.
7350,9,[2022-07-23 2:40:57 PM] - Dan Luukkonen was released.
7351,24,[2022-07-23 2:40:57 PM] - Clint Knight was released.
7352,9,[2022-07-23 2:40:57 PM] - Jean-Paul White was released.
7353,14,[2022-07-23 2:40:57 PM] - Robt Matheson was released.
7354,19,[2022-07-23 2:40:57 PM] - Frantisek Sc was released.
7355,18,[2022-07-23 2:40:57 PM] - Garnet Gilbert was released.
7356,1,[2022-07-23 2:40:57 PM] - Steve Mcdermott was released.
7357,8,[2022-07-23 2:40:57 PM] - Danila Antonov was released.
7358,14,[2022-07-23 2:40:57 PM] - Byron Griffiths was released.
7359,20,[2022-07-23 2:40:57 PM] - Marco Curtis was released.
7360,24,[2022-07-23 2:40:57 PM] - Ahmad Melanson was released.
7361,15,[2022-07-23 2:40:57 PM] - Tim Nelson was released.
7362,2,[2022-07-23 2:40:57 PM] - Tomas Bartlett was released.
7363,4,[2022-07-23 2:40:57 PM] - Gordon Morin was released.
7364,8,[2022-07-23 2:40:57 PM] - Ralf Reinholdsson was released.
7365,2,[2022-07-23 2:40:57 PM] - Alejandro Rush was released.
7366,6,[2022-07-23 2:40:57 PM] - Ola Blad was released.
7367,2,[2022-07-23 2:40:57 PM] - Art Lowe was released.
7368,16,[2022-07-23 2:40:57 PM] - Elias Cunningham was released.
7369,8,[2022-07-23 2:40:57 PM] - Mats Lonn was released.
7370,14,[2022-07-23 2:40:57 PM] - Gergely Pis was released.
7371,24,[2022-07-23 2:40:57 PM] - Robin Hallikainen was released.
7372,5,[2022-07-23 2:40:57 PM] - Devin Davies was released.
7373,9,[2022-07-23 2:40:57 PM] - Denis Laflamme was released.
7374,22,[2022-07-23 2:40:57 PM] - Carlos Loosli was released.
7375,24,[2022-07-23 2:40:57 PM] - Marc Mcconnell was released.
7376,2,[2022-07-23 2:40:57 PM] - Roman Kjellberg was released.
7377,2,[2022-07-23 2:40:57 PM] - Andy Labrie was released.
7378,9,[2022-07-23 2:40:57 PM] - Floyd Barton was released.
7379,5,[2022-07-23 2:40:57 PM] - Elmer Wood was released.
7380,1,[2022-07-23 2:40:57 PM] - Terrence Espinoza was released.
7381,13,[2022-07-23 2:40:57 PM] - Tomi Myllynen was released.
7382,5,[2022-07-23 2:40:57 PM] - Brandon Chow was released.
7383,20,[2022-07-23 2:40:57 PM] - Luke Ramos was released.
7384,16,[2022-07-23 2:40:57 PM] - Darrell Stephens was released.
7385,13,[2022-07-23 2:40:57 PM] - Allan Kling was released.
7386,12,[2022-07-23 2:40:57 PM] - Elly Grimm was released.
7387,1,[2022-07-23 2:40:57 PM] - Jeremy Lacombe was released.
7388,14,[2022-07-23 2:40:57 PM] - Fadi Rosenqvist was released.
7389,24,[2022-07-23 2:40:57 PM] - Angelo Winter was released.
7390,17,[2022-07-23 2:40:57 PM] - Emile Loewen was released.
7391,9,[2022-07-23 2:40:57 PM] - Emil Pozdnyakov was released.
7392,7,[2022-07-23 2:40:57 PM] - William Giesbrecht was released.
7393,1,[2022-07-23 2:40:57 PM] - Alexander Zimmer was released.
7394,18,[2022-07-23 2:40:57 PM] - Sam Blair was released.
7395,8,[2022-07-23 2:40:57 PM] - Oskar Poyhonen was released.
7396,7,[2022-07-23 2:40:57 PM] - Ali Afonina was released.
7397,20,[2022-07-23 2:40:57 PM] - Marc Bremer was released.
7398,22,[2022-07-23 2:40:57 PM] - Ali Christian was released.
7399,19,[2022-07-23 2:40:57 PM] - Jozef Kucharova was released.
7400,10,[2022-07-23 2:40:57 PM] - Damien Imbert was released.
7401,18,[2022-07-23 2:40:57 PM] - Jean-Marie Ducharme was released.
7402,7,[2022-07-23 2:40:57 PM] - Dan Backman was released.
7403,23,[2022-07-23 2:40:57 PM] - Vladimir Holmstrom was released.
7404,2,[2022-07-23 2:40:57 PM] - Henrik Tapio was released.
7405,11,[2022-07-23 2:40:57 PM] - Unto Valimaa was released.
7406,4,[2022-07-23 2:40:57 PM] - Johnny Parsons was released.
7407,10,[2022-07-23 2:40:57 PM] - Garth Keller was released.
7408,1,[2022-07-23 2:40:57 PM] - Melvin Carroll was released.
7409,16,[2022-07-23 2:40:57 PM] - Jean-Luc Gardiner was released.
7410,20,[2022-07-23 2:40:57 PM] - Noel Johnston was released.
7411,3,[2022-07-23 2:40:57 PM] - Jesus Watkins was released.
7412,4,[2022-07-23 2:40:57 PM] - Kevin Chen was released.
7413,24,[2022-07-23 2:40:57 PM] - Samuel Savard was released.
7414,23,[2022-07-23 2:40:57 PM] - Derek Howe was released.
7415,8,[2022-07-23 2:40:57 PM] - August Aebi was released.
7416,15,[2022-07-23 2:40:57 PM] - Evgenii Suleymanov was released.
7417,15,[2022-07-23 2:40:57 PM] - Jean-Marie Chan was released.
7418,1,[2022-07-23 2:40:57 PM] - Alpamys Gaitova was released.
7419,12,[2022-07-23 2:40:57 PM] - Philip Cabrera was released.
7420,14,[2022-07-23 2:40:57 PM] - Maxim Romanenko was released.
7421,1,[2022-07-23 2:40:57 PM] - Spencer Laporte was released.
7422,16,[2022-07-23 2:40:57 PM] - Stanley Vaughn was released.
7423,17,[2022-07-23 2:40:57 PM] - Omar Norris was released.
7424,3,[2022-07-23 2:40:57 PM] - Laurence Jacques was released.
7425,18,[2022-07-23 2:40:57 PM] - Winston Blais was released.
7426,11,[2022-07-23 2:40:57 PM] - Harold Weber was released.
7427,22,[2022-07-23 2:40:57 PM] - Duncan Joly was released.
7428,12,[2022-07-23 2:40:57 PM] - Jim Fortin was released.
7429,12,[2022-07-23 2:40:57 PM] - Kirk Mann was released.
7430,14,[2022-07-23 2:40:57 PM] - Benjamin Mcgregor was released.
7431,8,[2022-07-23 2:40:57 PM] - Domenic Corbett was released.
7432,18,[2022-07-23 2:40:57 PM] - Walter Hooper was released.
7433,1,[2022-07-23 2:40:57 PM] - James Booth was released.
7434,14,[2022-07-23 2:40:57 PM] - Rodolfo Mcdonald was released.
7435,21,[2022-07-23 2:40:57 PM] - Mekan Rusetskaya was released.
7436,18,[2022-07-23 2:40:57 PM] - Gerard Larocque was released.
7437,13,[2022-07-23 2:40:57 PM] - Wolfgang Diehl was released.
7438,23,[2022-07-23 2:40:57 PM] - Max Eggers was released.
7439,24,[2022-07-23 2:40:57 PM] - Cory Vazquez was released.
7440,8,[2022-07-23 2:40:57 PM] - Andre Lien was released.
7441,3,[2022-07-23 2:40:57 PM] - Greg Mcgrath was released.
7442,16,[2022-07-23 2:40:57 PM] - Romeo Mercer was released.
7443,4,[2022-07-23 2:40:57 PM] - Elias Hebert was released.
7444,22,[2022-07-23 2:40:57 PM] - Aleksandar Lantz was released.
7445,19,[2022-07-23 2:40:57 PM] - Gaetan Vincent was released.
7446,24,[2022-07-23 2:40:57 PM] - Hugo Matula was released.
7447,12,[2022-07-23 2:40:57 PM] - Luke Gardiner was released.
7448,3,[2022-07-23 2:40:57 PM] - Rainer Steinmann was released.
7449,6,[2022-07-23 2:40:57 PM] - Aarre Myllykoski was released.
7450,7,[2022-07-23 2:40:57 PM] - Brede Stentoft was released.
7451,21,[2022-07-23 2:40:57 PM] - Dmitrii Rybakov was released.
7452,14,[2022-07-23 2:40:57 PM] - Roger Sundelin was released.
7453,3,[2022-07-23 2:40:57 PM] - Edward Sturm was released.
7454,22,[2022-07-23 2:40:57 PM] - Heikki Staaf was released.
7455,23,[2022-07-23 2:40:57 PM] - Donnie Davis was released.
7456,7,[2022-07-23 2:40:57 PM] - Brett Charlebois was released.
7457,23,[2022-07-23 2:40:57 PM] - Kelvin Bullock was released.
7458,13,[2022-07-23 2:40:57 PM] - Sampo Ahola was released.
7459,10,[2022-07-23 2:40:57 PM] - Petri Hyvarinen was released.
7460,12,[2022-07-23 2:40:57 PM] - Artyr Kolos was released.
7461,2,[2022-07-23 2:40:57 PM] - Harold Patenaude was released.
7462,21,[2022-07-23 2:40:57 PM] - Charles Theriault was released.
7463,16,[2022-07-23 2:40:57 PM] - Les Parsons was released.
7464,13,[2022-07-23 2:40:57 PM] - Ludek Sojkova was released.
7465,19,[2022-07-23 2:40:57 PM] - Ray Breton was released.
7466,12,[2022-07-23 2:40:57 PM] - Clinton Nash was released.
7467,7,[2022-07-23 2:40:57 PM] - Robt Pare was released.
7468,21,[2022-07-23 2:40:57 PM] - Veli-Pekka Ryhanen was released.
7469,20,[2022-07-23 2:40:57 PM] - Micheal Vallieres was released.
7470,10,[2022-07-23 2:40:57 PM] - Louis Fontaine was released.
7471,19,[2022-07-23 2:40:57 PM] - Samuel Aijala was released.
7472,5,[2022-07-23 2:40:57 PM] - Narek Mironov was released.
7473,17,[2022-07-23 2:40:57 PM] - Ralph Lynn was released.
7474,13,[2022-07-23 2:40:57 PM] - Iiro Vanhanen was released.
7475,18,[2022-07-23 2:40:57 PM] - Nathan Bartlett was released.
7476,1,[2022-07-23 2:40:57 PM] - Douglas Singleton was released.
7477,10,[2022-07-23 2:40:57 PM] - Oliver Gregory was released.
7478,11,[2022-07-23 2:40:57 PM] - Herbert Rivas was released.
7479,2,[2022-07-23 2:40:57 PM] - Bryan Blake was released.
7480,14,[2022-07-23 2:40:57 PM] - Graeme Neufeld was released.
7481,22,[2022-07-23 2:40:57 PM] - Jp Porter was released.
7482,22,[2022-07-23 2:40:57 PM] - Krister Vilen was released.
7483,15,[2022-07-23 2:40:57 PM] - Carl-Johan Strid was released.
7484,6,[2022-07-23 2:40:57 PM] - Daniel Nieminen was released.
7485,16,[2022-07-23 2:40:57 PM] - Jack Kenny was released.
7486,3,[2022-07-23 2:40:57 PM] - Rene Foley was released.
7487,8,[2022-07-23 2:40:57 PM] - Walter Hussain was released.
7488,18,[2022-07-23 2:40:57 PM] - Kliment Vargova was released.
7489,2,[2022-07-23 2:40:57 PM] - Olli-Pekka Kujala was released.
7490,2,[2022-07-23 2:40:57 PM] - Frank Martineau was released.
7491,23,[2022-07-23 2:40:57 PM] - Douglas Aguilar was released.
7492,12,[2022-07-23 2:40:57 PM] - Owen Hudon was released.
7493,2,[2022-07-23 2:40:57 PM] - Leo Pereira was released.
7494,8,[2022-07-23 2:40:57 PM] - Claes Blomquist was released.
7495,20,[2022-07-23 2:40:57 PM] - Kyosti Toiviainen was released.
7496,19,[2022-07-23 2:40:57 PM] - Stan Parker was released.
7497,14,[2022-07-23 2:40:57 PM] - Rudy Schmidt was released.
7498,22,[2022-07-23 2:40:57 PM] - Leszek Baun was released.
7499,10,[2022-07-23 2:40:57 PM] - Khasan Radchenko was released.
7500,11,[2022-07-23 2:40:57 PM] - Darrell Piche was released.
7501,24,[2022-07-23 2:40:57 PM] - Kristen Velling was released.
7502,7,[2022-07-23 2:40:57 PM] - Vlastislav Vitkova was released.
7503,2,[2022-07-23 2:40:57 PM] - Cam Read was released.
7504,17,[2022-07-23 2:40:57 PM] - James Tissot was released.
7505,15,[2022-07-23 2:40:57 PM] - Cyril Benoit was released.
7506,6,[2022-07-23 2:40:57 PM] - Gert Reiter was released.
7507,7,[2022-07-23 2:40:57 PM] - Farkhad Volodina was released.
7508,21,[2022-07-23 2:40:57 PM] - Johannes Lindskog was released.
7509,14,[2022-07-23 2:40:57 PM] - Jari-Pekka Niva was released.
7510,21,[2022-07-23 2:40:57 PM] - Malcolm Ouellette was released.
7511,22,[2022-07-23 2:40:57 PM] - Young Nielsen was released.
